,상호명,상권업종소분류코드,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,위도,경도
58849,또래오래동작상도점,Q05A08,후라이드/양념치킨,서울특별시,동작구,상도1동,상도1동,서울특별시 동작구 양녕로 253-13,37.503384452844,126.94681163881201
58876,영등포치킨골뱅이,Q05A08,후라이드/양념치킨,서울특별시,영등포구,영등포동,영등포동3가,서울특별시 영등포구 영중로4길 13-1,37.5175734608658,126.907845562448
58886,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,마포구,도화동,도화동,서울특별시 마포구 도화길 6-3,37.539571465840105,126.946925194871
58909,멕시카나치킨,Q05A08,후라이드/양념치킨,서울특별시,용산구,원효로2동,원효로3가,서울특별시 용산구 원효로41길 53,37.5354624976972,126.960119534627
58910,알통닭강정,Q05A08,후라이드/양념치킨,서울특별시,도봉구,쌍문4동,쌍문동,서울특별시 도봉구 해등로26길 20,37.6586690334254,127.033080384383
58911,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,노원구,월계3동,월계동,서울특별시 노원구 마들로 59,37.622610972751296,127.066818389436
58945,더바스켓,Q05A08,후라이드/양념치킨,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼로3길 8,37.4941465291937,127.031869394681
58946,인생닭강정,Q05A08,후라이드/양념치킨,서울특별시,용산구,남영동,갈월동,서울특별시 용산구 한강대로87길 7-1,37.5441585914276,126.971552581726
58947,계림원,Q05A08,후라이드/양념치킨,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로 125-2,37.53099241343379,126.969266900368
58948,BBQ치킨,Q05A08,후라이드/양념치킨,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 동일로20길 116,37.539467483095606,127.069733965926
59082,치킨마루,Q05A08,후라이드/양념치킨,서울특별시,서초구,양재2동,양재동,서울특별시 서초구 동산로 68,37.4720716309436,127.04639896371
59224,본*BOB치킨*강정,Q05A08,후라이드/양념치킨,서울특별시,강북구,미아동,미아동,서울특별시 강북구 도봉로50길 32-5,37.625600448735,127.02861496377301
59235,아빠네닭꼬치엔바베큐,Q05A08,후라이드/양념치킨,서울특별시,관악구,미성동,신림동,서울특별시 관악구 난곡로 225,37.474279581507794,126.916808109006
59313,네네치킨상계중앙점,Q05A08,후라이드/양념치킨,서울특별시,노원구,상계6.7동,상계동,서울특별시 노원구 동일로215길 23,37.650427335415,127.05904772049699
59317,진미닭집,Q05A08,후라이드/양념치킨,서울특별시,금천구,독산2동,독산동,서울특별시 금천구 독산로64길 40,37.4656527322171,126.9046674375
59349,BBQ치킨,Q05A08,후라이드/양념치킨,서울특별시,강동구,암사1동,암사동,서울특별시 강동구 올림픽로 776,37.550135562566794,127.127522858158
59365,바니치킨상사,Q05A08,후라이드/양념치킨,서울특별시,동대문구,휘경1동,휘경동,서울특별시 동대문구 망우로 117,37.5914279845638,127.065939665516
59382,동경통닭,Q05A08,후라이드/양념치킨,서울특별시,성북구,길음1동,길음동,서울특별시 성북구 길음로7길 36-12,37.6033349199773,127.021962212098
59463,BBQ치킨피자큐,Q05A08,후라이드/양념치킨,서울특별시,중랑구,면목본동,면목동,서울특별시 중랑구 면목로 442-1,37.5915832299699,127.08693142787399
59482,멕시칸치킨,Q05A08,후라이드/양념치킨,서울특별시,송파구,마천1동,마천동,서울특별시 송파구 성내천로 296,37.4942824671821,127.155280218577
59486,본스치킨,Q05A08,후라이드/양념치킨,서울특별시,은평구,진관동,진관동,서울특별시 은평구 진관2로 77,37.6343213622661,126.926589335946
59526,또봉이통닭,Q05A08,후라이드/양념치킨,서울특별시,노원구,중계4동,중계동,서울특별시 노원구 한글비석로20길 18,37.6599786066622,127.073887848216
59593,천하일미강정치킨,Q05A08,후라이드/양념치킨,서울특별시,송파구,송파1동,송파동,서울특별시 송파구 오금로 146,37.510634676999395,127.11080105253001
59594,지코바치킨,Q05A08,후라이드/양념치킨,서울특별시,영등포구,영등포동,영등포동7가,서울특별시 영등포구 국회대로54길 10,37.523570255397,126.906423210313
59632,또래오래,Q05A08,후라이드/양념치킨,서울특별시,도봉구,도봉2동,도봉동,서울특별시 도봉구 도봉로180나길 56,37.6837794528491,127.050667668805
59655,호치킨,Q05A08,후라이드/양념치킨,서울특별시,강동구,강일동,강일동,서울특별시 강동구 아리수로93길 9,37.5652314667596,127.17433420435499
59713,보드람치킨,Q05A08,후라이드/양념치킨,서울특별시,동작구,노량진1동,노량진동,서울특별시 동작구 노량진로14다길 9,37.5123506360153,126.943869128451
59748,또래오래,Q05A08,후라이드/양념치킨,서울특별시,동작구,사당3동,사당동,서울특별시 동작구 사당로27길 92,37.4872812819934,126.975340671423
59783,네오치킨,Q05A08,후라이드/양념치킨,서울특별시,마포구,신수동,신수동,서울특별시 마포구 토정로 213,37.5451114864977,126.934716183456
59836,바른치킨,Q05A08,후라이드/양념치킨,서울특별시,강남구,삼성2동,삼성동,서울특별시 강남구 선릉로 574,37.5097102508565,127.044348098926
60032,군바리치킨,Q05A08,후라이드/양념치킨,서울특별시,노원구,공릉1동,공릉동,서울특별시 노원구 동일로173가길 133,37.624045598788,127.071637674379
60046,몽블랑치킨,Q05A08,후라이드/양념치킨,서울특별시,강동구,성내2동,성내동,서울특별시 강동구 천호옛14길 31,37.5360588669765,127.127222966997
60120,닭강정클라쓰,Q05A08,후라이드/양념치킨,서울특별시,영등포구,영등포동,영등포동1가,서울특별시 영등포구 경인로108길 5-1,37.5174395991627,126.910913091788
60121,굽네치킨,Q05A08,후라이드/양념치킨,서울특별시,은평구,갈현1동,갈현동,서울특별시 은평구 통일로 877,37.6212369450556,126.91951636366899
60131,치킨로하스,Q05A08,후라이드/양념치킨,서울특별시,서대문구,북가좌2동,북가좌동,서울특별시 서대문구 응암로 90,37.5807592906957,126.912289664334
60132,지코바양념치킨,Q05A08,후라이드/양념치킨,서울특별시,서대문구,남가좌2동,남가좌동,서울특별시 서대문구 증가로 112,37.5768850979374,126.925104899601
60298,썬더치킨,Q05A08,후라이드/양념치킨,서울특별시,동대문구,전농1동,전농동,서울특별시 동대문구 왕산로 192-1,37.579704777398604,127.044473116944
60484,생활치킨,Q05A08,후라이드/양념치킨,서울특별시,서초구,방배4동,방배동,서울특별시 서초구 방배로27길 12,37.4898708923382,126.99146443993799
60520,보드람치킨본사,Q05A08,후라이드/양념치킨,서울특별시,종로구,사직동,당주동,서울특별시 종로구 세종대로23길 47,37.571352644098894,126.973691852776
60521,치킨공방,Q05A08,후라이드/양념치킨,서울특별시,관악구,신림동,신림동,서울특별시 관악구 남부순환로 1597-11,37.484586764373105,126.92758202093201
60522,강적,Q05A08,후라이드/양념치킨,서울특별시,동대문구,이문1동,이문동,서울특별시 동대문구 휘경로 8,37.596019263482795,127.06088833718701
60523,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,양천구,신정1동,신정동,서울특별시 양천구 신월로36길 3-1,37.521260003600105,126.85843474341699
